,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
292,292,Mwene-Ditu,CD,-7.0,23.45,66.36,95,100,1.59,overcast clouds,African'zuri
294,294,Macapa,BR,0.0389,-51.0664,77.07,90,100,7.65,overcast clouds,Atalanta Hotel
295,295,Boende,CD,-0.2167,20.8667,69.46,98,100,2.37,overcast clouds,
297,297,Pombas,CV,17.1503,-25.0201,73.18,71,58,8.34,broken clouds,Paul Paradis
300,300,Bubaque,GW,11.2833,-15.8333,80.49,75,98,8.63,overcast clouds,"Casa Dora, Bubaque"
302,302,Nizwa,OM,22.9333,57.5333,84.6,16,100,0.49,overcast clouds,Orient Apartments
303,303,Bela Vista De Goias,BR,-16.9728,-48.9533,72.75,42,1,7.09,clear sky,Victoria Palace Hotel
305,305,Kharan,PK,28.5833,65.4167,81.21,7,0,2.75,clear sky,Dil Aram Bangla
308,308,Bayji,IQ,34.9311,43.487,82.54,15,68,5.53,broken clouds,دار الضيافة
309,309,Hargeysa,SO,9.56,44.065,68.04,71,16,7.0,few clouds,City Center Hotel
311,311,Baghdad,IQ,33.3406,44.4009,76.91,31,84,3.44,broken clouds,Baghdad Hotel
312,312,Kumluca,TR,36.3703,30.2869,70.38,60,66,7.45,broken clouds,Akkol Apart
313,313,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.42,84,39,5.03,scattered clouds,Crôa Mares Hotel
314,314,Garowe,SO,8.4054,48.4845,77.76,67,43,8.7,light rain,Curubo Hotel
317,317,Carnarvon,AU,-24.8667,113.6333,70.75,53,13,19.86,few clouds,Hospitality Carnarvon
321,321,Saint-Paul,RE,-21.0096,55.2707,78.89,63,37,1.23,scattered clouds,Boucan Canot
322,322,Damietta,EG,31.4165,31.8133,71.49,73,0,13.11,clear sky,SULIMAN INN
324,324,Pamplona,ES,42.8169,-1.6432,65.46,90,20,4.0,light intensity shower rain,Hotel Albret
325,325,Asfi,MA,32.2994,-9.2372,69.94,70,0,0.98,clear sky,Hôtel Abda
326,326,Kasongo-Lunda,CD,-6.4667,16.8167,68.31,97,23,0.29,few clouds,
327,327,Benicarlo,ES,40.4165,0.4271,67.89,83,73,4.09,broken clouds,Hotel & Spa Peñíscola Plaza Suites
328,328,Nicoya,CR,10.1483,-85.452,73.81,96,100,0.85,overcast clouds,Las Cabinas Del Sueño
333,333,San Antonio,US,29.4241,-98.4936,78.53,73,75,13.8,broken clouds,Drury Plaza Hotel San Antonio Riverwalk
334,334,Mongu,ZM,-15.2484,23.1274,68.32,26,17,8.68,few clouds,Country Lodge Mongu
336,336,Gat,IL,31.61,34.7642,76.41,100,0,7.16,clear sky,OlusHome
338,338,Neyshabur,IR,36.2133,58.7958,71.76,18,11,2.51,few clouds,Amiran Hotel & Commercial Complex
342,342,Placido De Castro,BR,-10.3353,-67.1856,73.44,93,97,0.43,overcast clouds,Hotel Carioca
344,344,Trairi,BR,-3.2778,-39.2689,78.12,80,29,15.39,scattered clouds,janelas do mar
345,345,Santa Cruz,BO,-17.8,-63.1667,74.66,78,75,3.44,broken clouds,Aviador Hotel Boutique
347,347,Guadalajara,MX,20.6667,-103.3333,68.99,100,75,0.0,broken clouds,Hotel Aranzazú
349,349,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,63,51,19.44,light rain,Pestana Bahia Praia
350,350,Gunjur,GM,13.2019,-16.7339,75.27,94,40,9.22,moderate rain,Jallo Kurundingoto Eco Tourist Camp
351,351,Fuente De Oro,CO,3.4594,-73.6128,69.94,96,81,1.54,broken clouds,Urbanización Casabrava
353,353,Itarema,BR,-2.9248,-39.9167,77.97,81,17,17.18,few clouds,"Sea Lounge! Bar, Club & Restaurant"
356,356,Taoudenni,ML,22.6783,-3.9836,85.35,16,100,12.44,overcast clouds,
359,359,Ratnagiri,IN,16.9833,73.3,82.8,75,98,3.96,overcast clouds,Hotel Landmark
361,361,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,11.5,few clouds,Atlantis Hotel
363,363,Kapiri Mposhi,ZM,-13.9652,28.6809,69.94,38,2,9.35,clear sky,MA 22 LODGE
365,365,Santarem,BR,-2.4431,-54.7083,77.13,100,40,0.0,moderate rain,Hotel Imperador
367,367,Odweyne,SO,9.4092,45.064,74.08,63,83,2.98,broken clouds,Eng Hiirey House
368,368,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,14.97,clear sky,El Medina
372,372,Santa Rosa,PH,14.3122,121.1114,85.1,70,91,12.97,light rain,Erlyn’s Sta Rosa City Home
375,375,Nova Aurora,BR,-22.8667,-52.5667,66.36,88,78,5.44,broken clouds,
378,378,Raga,SS,8.4596,25.678,69.51,92,100,3.13,overcast clouds,
379,379,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.68,89,67,12.88,broken clouds,Pousada Porto De Canoas
387,387,Ugoofaaru,MV,5.6667,73.0,81.05,80,100,20.38,overcast clouds,Ungoofaaru Inn
388,388,Marawi,PH,7.9986,124.2928,83.93,54,98,4.09,overcast clouds,Derogongan Residence
391,391,Ambilobe,MG,-13.2,49.05,80.31,49,31,4.61,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
392,392,Urubicha,BO,-15.3833,-62.95,72.34,81,93,1.59,overcast clouds,
393,393,Rock Hill,US,34.9249,-81.0251,66.15,69,0,4.61,clear sky,DDCSVC
394,394,Gandajika,CD,-6.75,23.95,69.04,81,98,1.88,overcast clouds,Hôtel Memorial
396,396,Khandbari,NP,27.3747,87.2039,78.58,38,0,3.56,clear sky,Sainik Hotel And Lodge
397,397,Camocim,BR,-2.9022,-40.8411,77.83,79,8,14.76,clear sky,Ilha Praia Hotel
